application_id,study_id,participant_id,submitted_at,status
3000,200,25,2025-01-22,completed
3001,200,19,2025-03-04,completed
3002,200,38,2025-02-24,completed
3003,200,48,2025-02-28,completed
3004,200,24,2025-03-18,completed
3005,200,29,2025-01-28,pending
3006,200,42,2025-02-21,pending
3007,200,23,2025-02-07,pending
3008,200,17,2025-02-01,withdrawn
3009,200,41,2025-02-10,withdrawn
3010,201,33,2025-03-20,completed
3011,201,37,2025-03-27,completed
3012,201,44,2025-03-07,completed
3013,201,31,2025-04-01,completed
3014,201,20,2025-01-27,completed
3015,201,34,2025-01-15,completed
3016,203,45,2025-01-20,completed
3017,203,26,2025-02-17,completed
3018,203,39,2025-03-10,completed
3019,203,43,2025-01-15,completed
3020,203,13,2025-02-17,completed
3021,215,13,2025-01-12,completed
3022,215,49,2025-03-12,completed
3023,215,47,2025-03-18,completed
3024,215,30,2025-01-26,completed
3025,215,50,2025-01-13,completed
3026,215,33,2025-02-28,withdrawn
3027,215,39,2025-01-30,completed
3028,215,21,2025-03-09,completed
3029,215,18,2025-02-09,completed
3030,215,17,2025-03-31,completed
3031,215,31,2025-01-15,completed
3032,215,14,2025-01-31,withdrawn
3033,215,25,2025-01-28,withdrawn
3034,216,35,2025-01-27,completed
3035,216,47,2025-02-04,completed
3036,216,18,2025-03-24,withdrawn
3037,216,20,2025-01-26,withdrawn
3038,216,21,2025-01-12,completed
3039,216,46,2025-03-27,completed
3040,216,22,2025-01-30,completed
3041,216,30,2025-01-28,completed
3042,216,15,2025-01-20,withdrawn
3043,216,14,2025-03-10,completed
3044,216,37,2025-03-13,withdrawn
3045,216,29,2025-01-07,withdrawn
3046,216,33,2025-02-23,completed
